,acuracia,percentualRuidoTreinamento
0,0.9168765743073047,0.000
1,0.9445843828715366,0.000
2,0.929471032745592,0.000
3,0.9420654911838791,0.000
4,0.9596977329974811,0.000
5,0.929471032745592,0.000
6,0.9269521410579346,0.000
7,0.924433249370277,0.000
8,0.9546599496221663,0.000
9,0.924433249370277,0.000
10,0.924433249370277,0.005
11,0.929471032745592,0.005
12,0.9345088161209067,0.005
13,0.929471032745592,0.005
14,0.929471032745592,0.005
15,0.906801007556675,0.005
16,0.9420654911838791,0.005
17,0.929471032745592,0.005
18,0.9521410579345088,0.005
19,0.8992443324937027,0.005
20,0.924433249370277,0.010
21,0.9219143576826196,0.010
22,0.9269521410579346,0.010
23,0.9093198992443325,0.010
24,0.9269521410579346,0.010
25,0.929471032745592,0.010
26,0.9168765743073047,0.010
27,0.9193954659949622,0.010
28,0.9193954659949622,0.010
29,0.9219143576826196,0.010
30,0.924433249370277,0.015
31,0.9521410579345088,0.015
32,0.9319899244332494,0.015
33,0.9042821158690176,0.015
34,0.9345088161209067,0.015
35,0.9219143576826196,0.015
36,0.924433249370277,0.015
37,0.8992443324937027,0.015
38,0.9345088161209067,0.015
39,0.9445843828715366,0.015
40,0.9345088161209067,0.020
41,0.8916876574307305,0.020
42,0.924433249370277,0.020
43,0.9143576826196473,0.020
44,0.8942065491183879,0.020
45,0.9219143576826196,0.020
46,0.889168765743073,0.020
47,0.9168765743073047,0.020
48,0.906801007556675,0.020
49,0.9219143576826196,0.020
50,0.9219143576826196,0.025
51,0.8841309823677582,0.025
52,0.9143576826196473,0.025
53,0.8690176322418136,0.025
54,0.9219143576826196,0.025
55,0.8589420654911839,0.025
56,0.8765743073047859,0.025
57,0.8942065491183879,0.025
58,0.924433249370277,0.025
59,0.924433249370277,0.025
60,0.8916876574307305,0.030
61,0.871536523929471,0.030
62,0.9093198992443325,0.030
63,0.9118387909319899,0.030
64,0.9017632241813602,0.030
65,0.9143576826196473,0.030
66,0.9118387909319899,0.030
67,0.8916876574307305,0.030
68,0.9143576826196473,0.030
69,0.9093198992443325,0.030
70,0.8992443324937027,0.035
71,0.8413098236775819,0.035
72,0.8816120906801007,0.035
73,0.9193954659949622,0.035
74,0.8690176322418136,0.035
75,0.8967254408060453,0.035
76,0.8992443324937027,0.035
77,0.9193954659949622,0.035
78,0.9118387909319899,0.035
79,0.8942065491183879,0.035
80,0.8816120906801007,0.040
81,0.8765743073047859,0.040
82,0.8942065491183879,0.040
83,0.8765743073047859,0.040
84,0.9042821158690176,0.040
85,0.9042821158690176,0.040
86,0.8992443324937027,0.040
87,0.8841309823677582,0.040
88,0.8841309823677582,0.040
89,0.906801007556675,0.040
